Order ID,Order Date,Customer ID,Customer Name,Email,City,State,Country,Product Title,Product Category,SKU,Quantity,Unit Price,Discount Applied,Total Price,Payment Method,Is Repeat Customer
1000,2024-08-24,C021,Ms. Katherine Walker DDS,bradykristi@gmail.com,New Dannymouth,DC,US,Zipper Hoodie,Hoodie,QWA-H007,1,45.97,0.0,45.97,PayPal,Yes
1001,2024-12-02,C022,Jennifer Garcia,patricia37@yahoo.com,South John,MT,US,Slim Fit Joggers,Pants,QWA-P009,1,37.69,0.0,37.69,Credit Card,No
1002,2024-10-19,C004,Omar Perry,erinyoung@hotmail.com,West Stevenstad,CT,US,Oversized Street Tee,Shirt,QWA-S014,3,41.52,0.0,124.56,Shop Pay,No
1003,2024-05-17,C018,Madeline Welch,moorejoanna@hotmail.com,Port Kennethtown,KS,US,Classic Logo Sweater,Sweater,QWA-S004,2,61.09,0.0,122.18,Credit Card,Yes
1004,2024-09-06,C001,Vickie Bell,lauren73@weiss-walker.biz,South Kathleen,NC,US,Oversized Hoodie,Hoodie,QWA-H001,1,36.21,0.0,36.21,Shop Pay,No
1005,2024-02-08,C025,Ashley Lynch,catherine05@hotmail.com,North Dawn,HI,US,Minimal Logo Tee,Shirt,QWA-S013,3,43.62,0.0,130.86,Credit Card,No
1006,2024-06-22,C015,Wayne Gonzalez,karen74@taylor.com,South Joshuatown,NV,US,Oversized Street Tee,Shirt,QWA-S019,3,33.78,0.0,101.34,Shop Pay,Yes
1007,2024-04-16,C014,Samantha Scott,vnguyen@gmail.com,Burnshaven,MO,US,Essential Tee,Shirt,QWA-S019,2,46.55,9.67,83.43,Credit Card,No
1008,2024-01-04,C022,Lori Lang,vgreen@yahoo.com,Port Gabrielport,CT,US,Classic Logo Hoodie,Hoodie,QWA-H008,1,63.16,5.29,57.87,Shop Pay,No
1009,2024-11-28,C018,Christina Webb,johnsonjamie@valentine.org,Daleton,LA,US,Zipper Hoodie,Hoodie,QWA-H010,3,57.36,10.56,161.52,Credit Card,Yes
1010,2024-01-11,C030,Mark Vazquez,alyssafreeman@taylor-walker.com,New Jasonton,WV,US,Minimalist Sweater,Sweater,QWA-S018,3,47.9,0.0,143.7,Shop Pay,Yes
1011,2024-11-22,C024,Bryan Russell,allencourtney@gmail.com,New Trevor,WA,US,Knitted Crewneck,Sweater,QWA-S011,3,65.24,7.56,188.16,Credit Card,Yes
1012,2024-12-20,C019,Emily Thompson,connorking@smith-martinez.com,New Alex,VT,US,Classic Logo Hoodie,Hoodie,QWA-H002,3,55.45,13.43,152.92,PayPal,No
1013,2024-05-06,C014,Karen Cooper,james26@thomas.com,Rickytown,CO,US,Oversized Hoodie,Hoodie,QWA-H020,2,66.84,0.0,133.68,Credit Card,No
1014,2024-06-26,C024,Emma Stanley,smitheric@hotmail.com,Jamesmouth,IN,US,Oversized Hoodie,Hoodie,QWA-H008,3,62.3,0.0,186.9,Shop Pay,Yes
1015,2024-11-02,C028,Marie Lopez,peckjoanna@owens.com,Klinefort,NJ,US,Relaxed Cargo Pants,Pants,QWA-P004,3,47.86,12.61,130.97,Shop Pay,No
1016,2024-01-27,C030,Sara Mccoy,xgibbs@collier.org,Lake Jasonchester,NY,US,Classic Logo Hoodie,Hoodie,QWA-H011,2,47.5,10.35,84.65,Credit Card,Yes
1017,2024-08-17,C007,Matthew Hicks,chelseavelasquez@mckee-cook.com,Port Pamela,WY,US,Slim Fit Joggers,Pants,QWA-P010,3,35.77,0.0,107.31,PayPal,No
1018,2024-06-12,C001,Andrew Maynard,christopherdavis@yahoo.com,Port Kenneth,PA,US,Oversized Hoodie,Hoodie,QWA-H018,1,40.33,0.0,40.33,Credit Card,No
1019,2024-06-11,C001,Valerie Kelly,dustingrant@hotmail.com,West Sharonburgh,HI,US,Essential Tee,Shirt,QWA-S018,3,66.53,0.0,199.59,Credit Card,No
1020,2024-04-24,C028,Rita Miranda,nortonlisa@rodriguez-cunningham.com,Port Natalieburgh,SD,US,Minimalist Sweater,Sweater,QWA-S002,1,52.55,8.03,44.52,Credit Card,No
1021,2024-01-10,C022,Carolyn Rodriguez,rachel38@hotmail.com,New Rachel,FL,US,Oversized Street Tee,Shirt,QWA-S005,3,53.95,0.0,161.85,Shop Pay,No
1022,2024-03-01,C005,Deanna Patel,jesse07@gmail.com,Thomasshire,MD,US,Minimalist Sweater,Sweater,QWA-S020,3,36.63,0.0,109.89,PayPal,No
1023,2024-12-08,C017,Gregory Sherman,charlesellis@ibarra.com,Nicoleborough,CO,US,Oversized Hoodie,Hoodie,QWA-H011,2,44.76,12.17,77.35,Shop Pay,No
